parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
2409.0,2.0,2.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
2410.0,4.0,3.0,0.52,0.67,0.5,0.67,0.5,0.0,0.0
2411.0,9.0,12.0,0.68,0.58,0.78,0.5,0.67,0.25,0.33
2412.0,9.0,9.0,0.47,0.67,0.67,0.44,0.44,0.0,0.0
2413.0,11.0,14.0,0.7,0.64,0.82,0.5,0.64,0.07,0.09
2414.0,4.0,10.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
2415.0,28.0,24.0,0.74,0.88,0.75,0.79,0.68,0.42,0.36
2416.0,19.0,17.0,0.65,0.65,0.58,0.53,0.47,0.41,0.37
2417.0,13.0,15.0,0.63,0.6,0.69,0.53,0.62,0.4,0.46
2418.0,17.0,15.0,0.58,0.6,0.53,0.6,0.53,0.4,0.35
2419.0,1.0,4.0,0.79,0.25,1.0,0.25,1.0,0.0,0.0
2420.0,5.0,7.0,0.5,0.43,0.6,0.29,0.4,0.14,0.2
2421.0,5.0,6.0,0.54,0.5,0.6,0.5,0.6,0.17,0.2
2422.0,8.0,7.0,0.38,0.43,0.38,0.43,0.38,0.29,0.25
2423.0,4.0,8.0,0.56,0.25,0.5,0.25,0.5,0.12,0.25
2424.0,1.0,448.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
2425.0,12.0,13.0,0.5,0.46,0.5,0.38,0.42,0.08,0.08
2426.0,6.0,9.0,0.64,0.44,0.67,0.44,0.67,0.11,0.17
2427.0,5.0,4.0,0.51,0.5,0.4,0.5,0.4,0.25,0.2
2428.0,9.0,9.0,0.39,0.44,0.44,0.33,0.33,0.11,0.11
2429.0,8.0,9.0,0.61,0.56,0.62,0.56,0.62,0.11,0.12
2430.0,8.0,3.0,0.84,1.0,0.38,1.0,0.38,0.33,0.12
2431.0,13.0,4.0,0.35,0.5,0.15,0.25,0.08,0.0,0.0
2432.0,11.0,3.0,0.31,0.33,0.09,0.33,0.09,0.33,0.09
2433.0,27.0,8.0,0.55,0.62,0.19,0.62,0.19,0.38,0.11
2434.0,25.0,19.0,0.63,0.79,0.6,0.68,0.52,0.11,0.08
2435.0,23.0,8.0,0.29,0.38,0.13,0.25,0.09,0.0,0.0
2436.0,15.0,5.0,0.32,0.4,0.13,0.2,0.07,0.0,0.0
2437.0,16.0,8.0,0.25,0.25,0.12,0.25,0.12,0.0,0.0
2438.0,24.0,14.0,0.39,0.43,0.25,0.21,0.12,0.07,0.04
2439.0,31.0,20.0,0.56,0.6,0.39,0.5,0.32,0.25,0.16
2440.0,38.0,17.0,0.43,0.41,0.18,0.35,0.16,0.06,0.03
2441.0,31.0,9.0,0.19,0.11,0.03,0.11,0.03,0.0,0.0
2442.0,26.0,23.0,0.36,0.43,0.38,0.3,0.27,0.0,0.0
2444.0,10.0,3.0,0.24,0.33,0.1,0.33,0.1,0.0,0.0
2445.0,11.0,10.0,0.42,0.5,0.45,0.5,0.45,0.0,0.0
2446.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447.0,2.0,2.0,0.46,0.5,0.5,0.5,0.5,0.5,0.5
2448.0,1.0,5.0,0.94,0.2,1.0,0.2,1.0,0.2,1.0
2449.0,2.0,7.0,0.91,0.29,1.0,0.29,1.0,0.29,1.0
2450.0,8.0,10.0,0.86,0.8,1.0,0.7,0.88,0.3,0.38
2451.0,7.0,8.0,0.64,0.62,0.71,0.62,0.71,0.38,0.43
2452.0,13.0,14.0,0.65,0.64,0.69,0.57,0.62,0.29,0.31
2453.0,19.0,14.0,0.52,0.64,0.47,0.5,0.37,0.07,0.05
2454.0,18.0,21.0,0.49,0.38,0.44,0.38,0.44,0.19,0.22
2455.0,3.0,3.0,0.49,0.67,0.67,0.67,0.67,0.0,0.0
2456.0,3.0,5.0,0.65,0.4,0.67,0.4,0.67,0.4,0.67
2457.0,11.0,8.0,0.66,0.75,0.55,0.75,0.55,0.38,0.27
2458.0,9.0,14.0,0.81,0.57,0.89,0.5,0.78,0.36,0.56
2459.0,4.0,6.0,0.36,0.33,0.5,0.17,0.25,0.0,0.0
2460.0,1.0,3.0,0.9,0.33,1.0,0.33,1.0,0.33,1.0
2461.0,5.0,13.0,0.64,0.23,0.6,0.23,0.6,0.15,0.4
2462.0,4.0,6.0,0.62,0.5,0.75,0.33,0.5,0.33,0.5
2463.0,3.0,5.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2464.0,6.0,4.0,0.63,0.75,0.5,0.5,0.33,0.0,0.0
2465.0,9.0,9.0,0.48,0.56,0.56,0.56,0.56,0.22,0.22
2466.0,13.0,11.0,0.41,0.55,0.46,0.36,0.31,0.0,0.0
2467.0,11.0,7.0,0.34,0.43,0.27,0.29,0.18,0.14,0.09
2468.0,35.0,16.0,0.33,0.38,0.17,0.31,0.14,0.0,0.0
2469.0,35.0,9.0,0.26,0.22,0.06,0.22,0.06,0.22,0.06
2470.0,26.0,14.0,0.65,0.79,0.42,0.57,0.31,0.29,0.15
2471.0,34.0,24.0,0.65,0.67,0.47,0.58,0.41,0.21,0.15
2472.0,31.0,22.0,0.61,0.68,0.48,0.59,0.42,0.27,0.19
2473.0,27.0,21.0,0.51,0.62,0.48,0.57,0.44,0.14,0.11
2474.0,23.0,20.0,0.51,0.6,0.52,0.5,0.43,0.1,0.09
2475.0,27.0,19.0,0.71,0.84,0.59,0.63,0.44,0.26,0.19
2476.0,16.0,16.0,0.58,0.62,0.62,0.62,0.62,0.25,0.25
2477.0,13.0,17.0,0.53,0.47,0.62,0.41,0.54,0.18,0.23
2478.0,14.0,11.0,0.49,0.55,0.43,0.36,0.29,0.18,0.14
2479.0,24.0,28.0,0.5,0.46,0.54,0.36,0.42,0.11,0.12
2480.0,22.0,16.0,0.49,0.56,0.41,0.44,0.32,0.0,0.0
2481.0,36.0,15.0,0.51,0.53,0.22,0.33,0.14,0.13,0.06
2482.0,13.0,10.0,0.49,0.6,0.46,0.5,0.38,0.2,0.15
