parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
38.0,61.0,61.0,0.25,0.23,0.23,0.2,0.2,0.03,0.03
39.0,38.0,61.0,0.24,0.18,0.29,0.11,0.18,0.0,0.0
40.0,17.0,59.0,0.44,0.15,0.53,0.12,0.41,0.02,0.06
41.0,18.0,70.0,0.17,0.04,0.17,0.03,0.11,0.03,0.11
42.0,20.0,39.0,0.39,0.26,0.5,0.21,0.4,0.0,0.0
43.0,12.0,30.0,0.38,0.17,0.42,0.13,0.33,0.03,0.08
44.0,13.0,32.0,0.54,0.28,0.69,0.22,0.54,0.03,0.08
45.0,12.0,59.0,0.51,0.14,0.67,0.1,0.5,0.02,0.08
46.0,15.0,45.0,0.13,0.04,0.13,0.02,0.07,0.0,0.0
47.0,9.0,43.0,0.26,0.07,0.33,0.02,0.11,0.02,0.11
48.0,42.0,53.0,0.29,0.26,0.33,0.15,0.19,0.02,0.02
49.0,21.0,51.0,0.09,0.04,0.1,0.02,0.05,0.0,0.0
50.0,11.0,33.0,0.45,0.15,0.45,0.12,0.36,0.06,0.18
51.0,26.0,64.0,0.5,0.22,0.54,0.2,0.5,0.11,0.27
52.0,20.0,36.0,0.41,0.25,0.45,0.19,0.35,0.06,0.1
53.0,24.0,40.0,0.33,0.23,0.38,0.15,0.25,0.05,0.08
54.0,16.0,45.0,0.54,0.2,0.56,0.2,0.56,0.09,0.25
55.0,15.0,35.0,0.44,0.17,0.4,0.17,0.4,0.06,0.13
56.0,14.0,32.0,0.43,0.22,0.5,0.19,0.43,0.03,0.07
57.0,17.0,66.0,0.29,0.09,0.35,0.06,0.24,0.0,0.0
58.0,41.0,70.0,0.31,0.21,0.37,0.17,0.29,0.0,0.0
59.0,26.0,59.0,0.36,0.15,0.35,0.14,0.31,0.1,0.23
60.0,9.0,81.0,0.53,0.06,0.56,0.04,0.33,0.0,0.0
61.0,35.0,127.0,0.58,0.18,0.66,0.17,0.6,0.02,0.09
62.0,62.0,104.0,0.42,0.27,0.45,0.18,0.31,0.06,0.1
63.0,46.0,81.0,0.47,0.27,0.48,0.22,0.39,0.07,0.13
64.0,39.0,114.0,0.5,0.18,0.54,0.12,0.36,0.03,0.08
65.0,45.0,98.0,0.41,0.17,0.38,0.15,0.33,0.05,0.11
66.0,44.0,71.0,0.33,0.23,0.36,0.13,0.2,0.03,0.05
67.0,45.0,85.0,0.48,0.26,0.49,0.24,0.44,0.09,0.18
68.0,26.0,103.0,0.54,0.14,0.54,0.11,0.42,0.03,0.12
69.0,19.0,105.0,0.39,0.08,0.42,0.07,0.37,0.02,0.11
70.0,20.0,69.0,0.55,0.19,0.65,0.14,0.5,0.01,0.05
71.0,27.0,90.0,0.51,0.18,0.59,0.11,0.37,0.01,0.04
72.0,7.0,54.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
73.0,22.0,82.0,0.42,0.13,0.5,0.09,0.32,0.01,0.05
74.0,24.0,61.0,0.32,0.15,0.38,0.08,0.21,0.03,0.08
75.0,39.0,58.0,0.31,0.24,0.36,0.17,0.26,0.09,0.13
76.0,16.0,40.0,0.48,0.23,0.56,0.2,0.5,0.05,0.12
77.0,10.0,27.0,0.41,0.15,0.4,0.15,0.4,0.07,0.2
78.0,5.0,38.0,0.59,0.08,0.6,0.08,0.6,0.05,0.4
79.0,20.0,56.0,0.31,0.11,0.3,0.07,0.2,0.0,0.0
80.0,41.0,70.0,0.22,0.13,0.22,0.1,0.17,0.0,0.0
81.0,23.0,34.0,0.17,0.09,0.13,0.03,0.04,0.0,0.0
82.0,35.0,53.0,0.18,0.11,0.17,0.09,0.14,0.0,0.0
83.0,7.0,25.0,0.33,0.12,0.43,0.0,0.0,0.0,0.0
84.0,4.0,20.0,0.54,0.1,0.5,0.1,0.5,0.1,0.5
85.0,13.0,21.0,0.27,0.14,0.23,0.1,0.15,0.05,0.08
86.0,10.0,20.0,0.37,0.2,0.4,0.15,0.3,0.0,0.0
87.0,9.0,26.0,0.56,0.23,0.67,0.19,0.56,0.12,0.33
88.0,13.0,27.0,0.32,0.19,0.38,0.11,0.23,0.0,0.0
89.0,10.0,39.0,0.59,0.18,0.7,0.13,0.5,0.05,0.2
90.0,18.0,35.0,0.43,0.23,0.44,0.17,0.33,0.06,0.11
91.0,33.0,51.0,0.42,0.29,0.45,0.25,0.39,0.06,0.09
92.0,37.0,61.0,0.38,0.23,0.38,0.2,0.32,0.05,0.08
93.0,24.0,61.0,0.64,0.3,0.75,0.25,0.62,0.1,0.25
94.0,22.0,46.0,0.54,0.28,0.59,0.22,0.45,0.09,0.18
95.0,6.0,21.0,0.42,0.14,0.5,0.14,0.5,0.05,0.17
96.0,9.0,28.0,0.28,0.11,0.33,0.04,0.11,0.0,0.0
97.0,44.0,78.0,0.36,0.22,0.39,0.15,0.27,0.03,0.05
98.0,23.0,44.0,0.34,0.16,0.3,0.16,0.3,0.02,0.04
99.0,26.0,89.0,0.42,0.13,0.46,0.11,0.38,0.03,0.12
100.0,42.0,120.0,0.58,0.25,0.71,0.17,0.48,0.03,0.07
